work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
2023,Senior,Full-time,Data Scientist,85847,Europe,remote,Europe,Large
2023,Intermediate,Contract,Machine Learning Engineer,30000,North America,remote,North America,Small
2023,Intermediate,Contract,Machine Learning Engineer,25500,North America,remote,North America,Small
2023,Senior,Full-time,Data Scientist,175000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,120000,North America,remote,North America,Medium
2023,Senior,Full-time,Research Scientist,222200,North America,onsite,North America,Large
2023,Senior,Full-time,Research Scientist,136000,North America,onsite,North America,Large
2023,Senior,Full-time,Data Scientist,219000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,141000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,147100,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,90700,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,130000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,100000,North America,remote,North America,Medium
2023,Junior,Full-time,Research Scientist,213660,North America,onsite,North America,Large
2023,Junior,Full-time,Research Scientist,130760,North America,onsite,North America,Large
2023,Senior,Full-time,Other,147100,North America,onsite,North America,Medium
2023,Senior,Full-time,Other,90700,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,170000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,150000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Analyst,150000,North America,remote,North America,Medium
2023,Intermediate,Full-time,Data Analyst,110000,North America,remote,North America,Medium
2023,Senior,Full-time,Research Scientist,275000,Europe,onsite,Europe,Medium
2023,Senior,Full-time,Research Scientist,174000,Europe,onsite,Europe,Medium
2023,Senior,Full-time,Data Analyst,230000,Europe,remote,Europe,Medium
2023,Senior,Full-time,Data Analyst,143200,Europe,remote,Europe,Medium
2023,Senior,Full-time,Data Analyst,225000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,156400,North America,onsite,North America,Medium
